id,titlu,valoare,data,tip,firma,cui,ofertanti
achizitie-directa-2025-2637,Publicatii periodice (Rev.2),66000.0,2025-01-08,Achizitie directa,ASOCIATIA CENTRUL ROMAN PENTRU INITIATIVA SOCIALA,26181156,1
achizitie-directa-2025-6697,Servicii de furnizare de date (Rev.2),5400.0,2025-01-08,Achizitie directa,COMPANY DATA SRL,24782214,1
achizitie-directa-2025-7219,Servicii de promovare (Rev.2),120000.0,2025-01-08,Achizitie directa,INDOOR MEDIA GROUP,18436062,1
achizitie-directa-2025-12448,Servicii de reparare si intretinere (Rev.2),135000.0,2025-01-09,Achizitie directa,ADLO PROCARS SRL,29496361,1
achizitie-directa-2025-23576,Servicii de intretinere a ascensoarelor (Rev.2),36056.0,2025-01-13,Achizitie directa,OTIS LIFT S.R.L.,7782044,1
achizitie-directa-2025-29653,Servicii de asistenta si de consultanta informatica (Rev.2),5280.0,2025-01-14,Achizitie directa,INTEGRISOFT SOLUTIONS,12448483,1
achizitie-directa-2025-29850,Lucrari de constructii de parcari (Rev.2),235000.0,2025-01-14,Achizitie directa,Vice Com 95 S.R.L.,7637486,1
achizitie-directa-2025-34525,Diverse imprimate (Rev.2),34792.0,2025-01-14,Achizitie directa,ROTAREXIM,1465985,1
achizitie-directa-2025-38546,Servicii de ajutor pentru utilizatori (Rev.2),192720.0,2025-01-15,Achizitie directa,SOCIETATEA NATIONALA DE INFORMATICA,1556587,1
achizitie-directa-2025-40641,Lampi etanse (Rev.2),2436.54,2025-01-15,Achizitie directa,TURBOTOP,22627540,1
achizitie-directa-2025-51666,Servicii de cadastru (Rev.2),270000.0,2025-01-16,Achizitie directa,Constopograf Expert,25145252,1
achizitie-directa-2025-68364,Servicii de fotografie si servicii conexe (Rev.2),48000.0,2025-01-21,Achizitie directa,ILIE GEORGIAN PERSOANĂ FIZICĂ AUTORIZATĂ,30277713,1
achizitie-directa-2025-69059,Servicii de topografie (Rev.2),270000.0,2025-01-21,Achizitie directa,Constopograf Expert,25145252,1
achizitie-directa-2025-70407,Servicii de reparare si de intretinere a echipamentului de securitate (Rev.2),24000.0,2025-01-21,Achizitie directa,PAN-NET,18675647,1
achizitie-directa-2025-70792,Reparare si intretinere a echipamentelor (Rev.2),48000.0,2025-01-21,Achizitie directa,OPAX PROTECTION SYSTEMS,29587346,1
achizitie-directa-2025-70887,Servicii de intretinere a automobilelor (Rev.2),387.1,2025-01-21,Achizitie directa,AUTO MARCU'S GRUP SA,86,1
achizitie-directa-2025-71408,Produse de curatenie (Rev.2),3486.0,2025-01-21,Achizitie directa,KSA ROAD SERVICES,35253022,1
achizitie-directa-2025-75700,Ecusoane de identificare (Rev.2),208.25,2025-01-21,Achizitie directa,Admiral Media,32146145,1
achizitie-directa-2025-79099,Servicii de arpentaj cadastral (Rev.2),270000.0,2025-01-22,Achizitie directa,Constopograf Expert,25145252,1
achizitie-directa-2025-80581,Piatra de cariera si concasata (Rev.2),137750.0,2025-01-22,Achizitie directa,GEMCO TRADE,31335227,1
achizitie-directa-2025-84785,Alte materiale de constructii diverse (Rev.2),79500.0,2025-01-22,Achizitie directa,GENERAL UTIL CONS,34772064,1
achizitie-directa-2025-89386,Servicii de certificare a semnaturii electronice (Rev.2),285.0,2025-01-23,Achizitie directa,CENTRUL DE CALCUL,2163993,1
achizitie-directa-2025-94517,Servicii de supraveghere a lucrarilor (Rev.2),14000.0,2025-01-27,Achizitie directa,ALPHA CONSULT GENERAL,25188733,1
achizitie-directa-2025-115429,Servicii de intretinere a automobilelor (Rev.2),1443.55,2025-01-29,Achizitie directa,AUTO MARCU'S GRUP SA,86,1
achizitie-directa-2025-119887,"Ziare, reviste specializate, periodice si reviste (Rev.2)",24000.0,2025-01-29,Achizitie directa,WORLD GLOBAL MEDIA S.R.L.,44412011,1
achizitie-directa-2025-123923,Echipament de retea (Rev.2),166.38,2025-01-30,Achizitie directa,DANTE INTERNATIONAL S.A.,14399840,1
achizitie-directa-2025-130585,Servicii de elaborare de studii (Rev.2),270000.0,2025-01-31,Achizitie directa,PERCONS EU,25535239,1
achizitie-directa-2025-131563,Servicii de proiectare specializata (Rev.2),135000.0,2025-01-31,Achizitie directa,CRISBO COMPANY,7954166,1
achizitie-directa-2025-139720,Servicii de reparare si de intretinere a automobilelor (Rev.2),1481.8600000000001,2025-02-03,Achizitie directa,GI EUROSERVICE,19166285,1
achizitie-directa-2025-139803,Servicii de reparare si de intretinere a automobilelor (Rev.2),1632.31,2025-02-03,Achizitie directa,GI EUROSERVICE,19166285,1
achizitie-directa-2025-147862,"Registre, registre contabile, clasoare, formulare si alte articole imprimate de ",4860.0,2025-02-03,Achizitie directa,Dark Solutions,23255720,1
achizitie-directa-2025-152162,Servicii de intretinere a automobilelor (Rev.2),1518.6100000000001,2025-02-04,Achizitie directa,AUTO MARCU'S GRUP SA,86,1
achizitie-directa-2025-152465,Servicii de consultanta in domeniul securitatii (Rev.2),86400.0,2025-02-04,Achizitie directa,SSM FIRE CONSULTING,25336694,1
achizitie-directa-2025-160677,Articole si echipament de sport (Rev.2),873.1,2025-02-05,Achizitie directa,ANASTASIA G.B. PRODCOM,4911926,1
achizitie-directa-2025-169758,Lucrari in lemn (Rev.2),290275.66000000003,2025-02-06,Achizitie directa,NICOLAS CONSTRUCT,24651529,1
achizitie-directa-2025-170844,Servicii de proiectare tehnica pentru infrastructura de transport (Rev.2),110000.0,2025-02-06,Achizitie directa,MASTER SOLUTIONS TEAM,32099000,1
achizitie-directa-2025-172364,Servicii de consultanta in domeniul achizitiilor (Rev.2),81000.0,2025-02-06,Achizitie directa,VITERI CONCEPT SOLUTIONS S.R.L.,50324046,1
achizitie-directa-2025-181852,Diverse articole (Rev.2),7506.67,2025-02-07,Achizitie directa,DEDEMAN S.R.L.,2816464,1
achizitie-directa-2025-182057,Aditivi chimici (Rev.2),507.0,2025-02-07,Achizitie directa,TURBOTOP,22627540,1
achizitie-directa-2025-189805,Servicii de inspectie si testare tehnica (Rev.2),53235.0,2025-02-10,Achizitie directa,SC HEAT INSTAL SRL,23862510,1
achizitie-directa-2025-193520,Servicii legislative (Rev.2),4800.0,2025-02-14,Achizitie directa,CENTRUL TERITORIAL DE CALCUL ELECTRONIC S.A.,2040729,1
